iterations,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
6035,0.487932912,0.50623369,0.430440943,0.130576631,0.389618965,0.268850404,0.991330241,0.999432246,0.984622899,1.01496143,0.999689452,0.202431181,0.184306032,0.263613384,1.019320528,0.99611483,1.006396458,1.017133754,0.98984721,1.016568063,0.234727208
6036,0.4882056,0.506110021,0.430721514,0.130867916,0.390166453,0.264791167,0.99092477,1.001302508,0.981388363,1.015798809,1.001464514,0.200325497,0.184578499,0.263832673,1.021447709,0.998626676,1.004294645,1.017566576,0.991743253,1.015335744,0.233831622
6037,0.4882056,0.506110021,0.430721514,0.130867916,0.390166453,0.264791167,0.99092477,1.001302508,0.981388363,1.015798809,1.001464514,0.200325497,0.184578499,0.263832673,1.021447709,0.998626676,1.004294645,1.017566576,0.991743253,1.015335744,0.233831622
6038,0.487692692,0.506515437,0.430786568,0.128668232,0.388727408,0.265764736,0.993185269,1.000419034,0.979330792,1.012879362,1.004940159,0.197510232,0.185068636,0.262969277,1.022093666,0.993717853,1.006418092,1.019231417,0.990911565,1.014885627,0.235181895
6039,0.488218427,0.506613325,0.431696178,0.129216201,0.387520979,0.264552996,0.996534393,1.00007965,0.981091242,1.01043575,1.004882716,0.201045144,0.187218572,0.261298848,1.024866672,0.995660449,1.006989028,1.018360665,0.994093633,1.014958489,0.237817197
6040,0.488218427,0.506613325,0.431696178,0.129216201,0.387520979,0.264552996,0.996534393,1.00007965,0.981091242,1.01043575,1.004882716,0.201045144,0.187218572,0.261298848,1.024866672,0.995660449,1.006989028,1.018360665,0.994093633,1.014958489,0.237817197
6041,0.487889174,0.506833767,0.432424757,0.132980985,0.390075474,0.264544068,0.998007055,0.998854393,0.982008596,1.010026084,1.000175542,0.197512607,0.191029269,0.262572795,1.024823734,0.997061157,1.008057516,1.01646351,0.98972039,1.01656718,0.238461441
6042,0.488075747,0.507735821,0.431733643,0.133370682,0.387367668,0.261035391,0.998568282,0.998813747,0.985416825,1.009531399,0.999881417,0.198943974,0.192118247,0.261783807,1.026849055,0.996886578,1.006879339,1.014574904,0.988547701,1.018257863,0.23657701
6043,0.488075747,0.507735821,0.431733643,0.133370682,0.387367668,0.261035391,0.998568282,0.998813747,0.985416825,1.009531399,0.999881417,0.198943974,0.192118247,0.261783807,1.026849055,0.996886578,1.006879339,1.014574904,0.988547701,1.018257863,0.23657701
6044,0.488075747,0.507735821,0.431733643,0.133370682,0.387367668,0.261035391,0.998568282,0.998813747,0.985416825,1.009531399,0.999881417,0.198943974,0.192118247,0.261783807,1.026849055,0.996886578,1.006879339,1.014574904,0.988547701,1.018257863,0.23657701
6045,0.488075747,0.507735821,0.431733643,0.133370682,0.387367668,0.261035391,0.998568282,0.998813747,0.985416825,1.009531399,0.999881417,0.198943974,0.192118247,0.261783807,1.026849055,0.996886578,1.006879339,1.014574904,0.988547701,1.018257863,0.23657701
6046,0.488075747,0.507735821,0.431733643,0.133370682,0.387367668,0.261035391,0.998568282,0.998813747,0.985416825,1.009531399,0.999881417,0.198943974,0.192118247,0.261783807,1.026849055,0.996886578,1.006879339,1.014574904,0.988547701,1.018257863,0.23657701
6047,0.487760766,0.508559756,0.43137846,0.130901476,0.383975973,0.262193989,0.997463831,0.996578465,0.985466166,1.007403297,1.002056574,0.194402913,0.187780643,0.258323809,1.022576902,0.995498634,1.00700478,1.014639768,0.989207354,1.016187097,0.235828594
6048,0.487760766,0.508559756,0.43137846,0.130901476,0.383975973,0.262193989,0.997463831,0.996578465,0.985466166,1.007403297,1.002056574,0.194402913,0.187780643,0.258323809,1.022576902,0.995498634,1.00700478,1.014639768,0.989207354,1.016187097,0.235828594
