iterations,0,1,2,3,4,5,6,7,8,9,10
6151,0.399908386,0.429144054,0.164909837,0.488504047,0.523008022,0.403294464,0.983700152,0.977653706,1.003205689,1.014879337,0.238081292
6152,0.399609915,0.429269493,0.169042571,0.493602268,0.524136507,0.402288277,0.984752698,0.978166312,1.00506976,1.014170978,0.240022352
6153,0.399726191,0.429915671,0.170304133,0.491227359,0.525215425,0.399378801,0.984174033,0.981337816,1.007967107,1.014553987,0.241591884
6154,0.399726191,0.429915671,0.170304133,0.491227359,0.525215425,0.399378801,0.984174033,0.981337816,1.007967107,1.014553987,0.241591884
6155,0.399726191,0.429915671,0.170304133,0.491227359,0.525215425,0.399378801,0.984174033,0.981337816,1.007967107,1.014553987,0.241591884
6156,0.399777536,0.429322339,0.167020898,0.493096246,0.526185707,0.404227018,0.987794581,0.982713197,1.006294892,1.014110136,0.241043167
6157,0.400356228,0.43034485,0.167728724,0.491671674,0.519158562,0.40319803,0.984783798,0.98309923,1.004466463,1.011277428,0.242658183
6158,0.400356228,0.43034485,0.167728724,0.491671674,0.519158562,0.40319803,0.984783798,0.98309923,1.004466463,1.011277428,0.242658183
6159,0.399826292,0.429393682,0.167093322,0.488307872,0.513396426,0.407556242,0.983901714,0.983675034,1.006944289,1.009515623,0.246898715
6160,0.399826292,0.429393682,0.167093322,0.488307872,0.513396426,0.407556242,0.983901714,0.983675034,1.006944289,1.009515623,0.246898715
6161,0.398950493,0.429362104,0.167966359,0.485611326,0.513949328,0.40267708,0.983366885,0.981125422,1.005810436,1.0081044,0.247409977
6162,0.399509528,0.429989074,0.165034498,0.487857379,0.518380738,0.404974871,0.983943514,0.981176155,1.007390533,1.006410159,0.251496713
6163,0.398837983,0.430027044,0.162324021,0.484900986,0.513737178,0.402647364,0.979900657,0.98059329,1.010721271,1.003992312,0.246973204
6164,0.398756551,0.430832533,0.157832597,0.486755016,0.519267819,0.401656214,0.984553115,0.984238349,1.009684467,1.005539164,0.248194506
6165,0.398756551,0.430832533,0.157832597,0.486755016,0.519267819,0.401656214,0.984553115,0.984238349,1.009684467,1.005539164,0.248194506
6166,0.399132024,0.431698213,0.158460365,0.488707811,0.515525975,0.399546315,0.984612687,0.987087976,1.01332761,1.00313603,0.252340983
6167,0.399128333,0.431783029,0.159469975,0.490563113,0.519390875,0.399702474,0.985232733,0.988424088,1.015981457,1.002935344,0.253350139
6168,0.397509747,0.432160778,0.158644734,0.492256967,0.517679746,0.397649867,0.984927884,0.99106125,1.016056653,1.003886613,0.253590129
6169,0.396911178,0.433010928,0.158121959,0.49588407,0.52024985,0.394014806,0.986886506,0.993796285,1.014839718,1.006442427,0.250801202
6170,0.397002515,0.433602608,0.15391931,0.496723954,0.52438013,0.400699608,0.986911431,0.990910791,1.020096935,1.004378368,0.25477122
6171,0.396004521,0.431817052,0.159218548,0.494583661,0.526435481,0.3989165,0.983767007,0.991880279,1.016346972,1.004082859,0.254626472
6172,0.396348053,0.432610114,0.159266409,0.503339191,0.524213052,0.399855261,0.97692715,0.99138986,1.019907802,0.998291121,0.25210952
6173,0.396172238,0.432418459,0.157347244,0.505457567,0.531785188,0.39899598,0.977508431,0.988229073,1.024032096,0.999062361,0.24879834
6174,0.397235083,0.432525865,0.15875718,0.500683138,0.533937283,0.400068031,0.976534063,0.988297613,1.02044866,1.002269379,0.251081693
6175,0.397235083,0.432525865,0.15875718,0.500683138,0.533937283,0.400068031,0.976534063,0.988297613,1.02044866,1.002269379,0.251081693
6176,0.396423679,0.43360611,0.15789127,0.503085136,0.539114351,0.397683248,0.977892158,0.98533244,1.018576808,1.00542515,0.251017048
6177,0.397026009,0.432725459,0.164572082,0.5022034,0.542047313,0.398672843,0.978803612,0.982275143,1.018516798,1.011413356,0.253735479
6178,0.397026009,0.432725459,0.164572082,0.5022034,0.542047313,0.398672843,0.978803612,0.982275143,1.018516798,1.011413356,0.253735479
6179,0.396866718,0.433371457,0.161772506,0.50167348,0.547008263,0.398596943,0.982474031,0.98199738,1.019396618,1.010766189,0.255061315
6180,0.396866718,0.433371457,0.161772506,0.50167348,0.547008263,0.398596943,0.982474031,0.98199738,1.019396618,1.010766189,0.255061315
6181,0.396441379,0.432971983,0.162676254,0.501504906,0.550785086,0.399677551,0.979871521,0.978844571,1.020696085,1.009797071,0.252720139
6182,0.396336089,0.432485272,0.16241884,0.50689616,0.551480346,0.40321201,0.97928459,0.98087983,1.019067991,1.00803862,0.253849491
6183,0.396020725,0.432165903,0.163276608,0.512928505,0.54870568,0.403091877,0.977979313,0.983105753,1.014005925,1.010184953,0.250581182
6184,0.395238438,0.432199798,0.163278997,0.510684899,0.550163847,0.40417346,0.975147961,0.984543535,1.010315494,1.009790023,0.246603144
6185,0.394782927,0.433931676,0.165644744,0.514940228,0.554380225,0.406262224,0.976617148,0.984652576,1.010604141,1.008800049,0.246316867
6186,0.394782927,0.433931676,0.165644744,0.514940228,0.554380225,0.406262224,0.976617148,0.984652576,1.010604141,1.008800049,0.246316867
6187,0.394782927,0.433931676,0.165644744,0.514940228,0.554380225,0.406262224,0.976617148,0.984652576,1.010604141,1.008800049,0.246316867
6188,0.394782927,0.433931676,0.165644744,0.514940228,0.554380225,0.406262224,0.976617148,0.984652576,1.010604141,1.008800049,0.246316867
6189,0.395426122,0.435032708,0.168117795,0.518005967,0.542597719,0.410851698,0.977869264,0.98442901,1.012926071,1.011661651,0.245748189
6190,0.395225094,0.433648965,0.168708448,0.519151324,0.545805606,0.412083532,0.983627451,0.981514366,1.013986971,1.010135445,0.24596923
6191,0.395225094,0.433648965,0.168708448,0.519151324,0.545805606,0.412083532,0.983627451,0.981514366,1.013986971,1.010135445,0.24596923
6192,0.395225094,0.433648965,0.168708448,0.519151324,0.545805606,0.412083532,0.983627451,0.981514366,1.013986971,1.010135445,0.24596923
6193,0.394815224,0.433020663,0.167620774,0.51847229,0.542245996,0.41104453,0.978060487,0.982442458,1.015434668,1.008835684,0.243917198
6194,0.394815224,0.433020663,0.167620774,0.51847229,0.542245996,0.41104453,0.978060487,0.982442458,1.015434668,1.008835684,0.243917198
6195,0.393875342,0.43220075,0.16534745,0.519890831,0.540046266,0.410426117,0.978025955,0.984658742,1.015295838,1.006637732,0.246631953
6196,0.393875342,0.43220075,0.16534745,0.519890831,0.540046266,0.410426117,0.978025955,0.984658742,1.015295838,1.006637732,0.246631953
